;;;;;
№;Станция / перегон / виды работ;Подрядчик;ФО за февраль;Средняя численность за февраль;Выработка в феврале
1;Итого по Объекту Дирекции 1;;0;;--
2;Вынос инженерных коммуникаций (кабель), п.м.;;0;;--
3;Ограждающие конструкции, м3;;0;;--
4;Земляные работы, м3;;3210,7;;--
5;Устройство крепления котлована, тн.;;31,2;;--
6;Монолитный ж/б, м3;;1348,2;;--
7;Архитектурно-отделочные работы пассажирской зоны, м2;;0;;--
8;Инженерные системы. Монтаж оборудования, шт.;;414;;--
9;Инженерные системы. Монтаж трубопроводов, п.м.;;187,5;;--
10;Инженерные системы. Монтаж воздуховодов, п.м.;;0;;--
11;Инженерные системы. Монтаж кабеля, п.м.;;8099;;--
12;Обратная засыпка, м3;;0;;--
13;Устройство наружных сетей (трубопроводы), п.м.;;0;;--
14;Проходка ТПМК, п.м.;;0;;--
15;Устройство жесткого основания, м3;;702;;--
16;Устройство ВСП (путевой бетон), п.м.;;613;;--
17;Устройство вентперекрытия тоннеля D10, пог.м;;0;;--
18;Благоустройство (гранит, плитка), м2;;0;;--
19;Устранение замечаний, шт.;;0;;--
20;Итого по Объекту: Северо-Западный участок БКЛ;;0;;--
21;Инженерные системы. Монтаж трубопроводов, п.м.;;187,5;;--
22;Инженерные системы. Монтаж кабеля, п.м.;;8099;;--
23;Устройство жесткого основания, м3;;702;;--
24;Устройство ВСП (путевой бетон), п.м.;;613;;--
25;Устранение замечаний, шт.;;0;;--
26;Северо-Западный участок БКЛ;;0;;--
27;"Ст. ""Деловой центр"" - ст. ""Петровский парк""";;0;;--
28;Устранение замечаний, шт.;"АО ""Ингеоком""";0;0,00;--
29;"ТУПИКИ за ст. ""Деловой центр""";;0;;--
30;Инженерные системы. Монтаж трубопроводов, п.м.;"АО ""Ингеоком""";187,5;0,00;--
31;Инженерные системы. Монтаж кабеля, п.м.;"АО ""Ингеоком""";8099;0,00;--
32;Устройство жесткого основания, м3;"АО ""Ингеоком""";702;36,61;19,17658537
33;Устройство ВСП (путевой бетон), п.м.;"АО ""Ингеоком""";613;0,00;--
34;"Ст. ""Савеловская"", тупики за станцией";;0;;--
35;Устранение замечаний, шт.;"АО ""Ингеоком""";0;0,00;--
36;Итого по Объекту: Западный участок БКЛ;;0;;--
37;Земляные работы, м3;;3210,7;;--
38;Устройство крепления котлована, тн.;;31,2;;--
39;Монолитный ж/б, м3;;1348,2;;--
40;Инженерные системы. Монтаж оборудования, шт.;;414;;--
41;Инженерные системы. Монтаж трубопроводов, п.м.;;187,5;;--
42;Инженерные системы. Монтаж кабеля, п.м.;;8099;;--
43;Обратная засыпка, м3;;0;;--
44;Устройство наружных сетей (трубопроводы), п.м.;;0;;--
45;Устройство жесткого основания, м3;;702;;--
46;Устройство ВСП (путевой бетон), п.м.;;613;;--
47;Устройство вентперекрытия тоннеля D10, пог.м;;0;;--
48;Благоустройство (гранит, плитка), м2;;0;;--
49;Западный участок БКЛ;;0;;--
50;"Ст. ""Улица Народного Ополчения"" и перегон от ст. ""Хорошевская"" до ст. ""Улица Народного Ополчения""";;0;;--
51;Земляные работы, м3;"АО ""Ингеоком""";3210,7;0,00;--
52;Монолитный ж/б, м3;"АО ""Ингеоком""";1348,2;0,00;--
53;Инженерные системы. Монтаж оборудования, шт.;"АО ""Ингеоком""";414;122,50;3,379591837
54;Инженерные системы. Монтаж трубопроводов, п.м.;"АО ""Ингеоком""";187,5;0,00;--
55;Инженерные системы. Монтаж кабеля, п.м.;"АО ""Ингеоком""";8099;0,00;--
56;Устройство ВСП (путевой бетон), п.м.;"АО ""Ингеоком""";613;0,00;--
57;Благоустройство (гранит, плитка), м2;"ООО ""ГорИнжСтрой""";0;325,00;0
58;"Ст. ""Нижние Мневники"" и перегон от ст. ""Улица Народного Ополчения"" до ст. ""Нижние Мневники"", р-ция Карамышевского шлюза";;0;;--
59;Инженерные системы. Монтаж кабеля, п.м.;"АО ""УРСТ"" ";8099;0,00;--
60;Устройство наружных сетей (трубопроводы), п.м.;"АО ""УРСТ"" ";0;222,82;0
61;"Тупики за ст. ""Нижние Мневники""";;0;;--
62;Земляные работы, м3;"АО ""УРСТ"" ";3210,7;20,00;160,535
63;Устройство крепления котлована, тн.;"АО ""УРСТ"" ";31,2;10,00;3,12
64;Монолитный ж/б, м3;"АО ""УРСТ"" ";1348,2;29,46;45,75709091
65;"Ст. ""Терехово"" и перегон от ст. ""Нижние Мневники"" до ст. ""Терехово""";;0;;--
66;Монолитный ж/б, м3;"АО ""Ингеоком""";1348,2;0,00;--
67;Обратная засыпка, м3;"АО ""Ингеоком""";0;142,25;0
68;"Ст. ""Можайская"" и перегон от ст. ""Терехово"" до ст.  ""Можайская"", перегон от ст. ""Можайская"" до ст. ""Давыдково""";;0;;--
69;Земляные работы, м3;"АО ""УРСТ"" ";3210,7;6,25;513,712
70;Устройство крепления котлована, тн.;"АО ""УРСТ"" ";31,2;6,25;4,992
71;Монолитный ж/б, м3;"АО ""УРСТ"" ";1348,2;0,00;--
72;Обратная засыпка, м3;"АО ""УРСТ"" ";0;0,00;--
73;Устройство жесткого основания, м3;"АО ""УРСТ"" ";702;70,00;10,02857143
74;Устройство ВСП (путевой бетон), п.м.;"АО ""УРСТ"" ";613;50,00;12,26
75;Устройство вентперекрытия тоннеля D10, пог.м;"АО ""УРСТ"" ";0;113,50;0
76;Итого по Объекту: Юго-Западный участок БКЛ;;0;;--
77;"Ст. ""Давыдково"" , перегон от ст. ""Давыдково"" до переходной камеры за ст. ""Аминьевское шоссе""";;0;;--
78;Земляные работы, м3;"АО ""УРСТ"" ";3210,7;5,00;642,14
79;Устройство крепления котлована, тн.;"АО ""УРСТ"" ";31,2;5,00;6,24
80;Монолитный ж/б, м3;"АО ""УРСТ"" ";1348,2;0,00;--
81;Обратная засыпка, м3;"АО ""УРСТ"" ";0;0,00;--
82;Проходка ТПМК, п.м.;"АО ""УРСТ"" ";0;0,00;--
83;Устройство жесткого основания, м3;"АО ""УРСТ"" ";702;162,86;4,310526316
84;Итого по Объекту: Южный участок БКЛ;;0;;--
85;Земляные работы, м3;;3210,7;;--
86;Устройство крепления котлована, тн.;;31,2;;--
87;Монолитный ж/б, м3;;1348,2;;--
88;Архитектурно-отделочные работы пассажирской зоны, м2;;0;;--
89;Инженерные системы. Монтаж оборудования, шт.;;414;;--
90;Инженерные системы. Монтаж трубопроводов, п.м.;;187,5;;--
91;Инженерные системы. Монтаж воздуховодов, п.м.;;0;;--
92;Инженерные системы. Монтаж кабеля, п.м.;;8099;;--
93;Обратная засыпка, м3;;0;;--
94;Устройство наружных сетей (трубопроводы), п.м.;;0;;--
95;Проходка ТПМК, п.м.;;0;;--
96;Южный участок БКЛ;;0;;--
97;"Ст. ""Улица Новаторов"" и перегон от ст. ""Улица Новаторов"" до ст. ""Воронцовская""";;0;;--
98;Земляные работы, м3;"ООО ""ИБТ""";3210,7;10,00;321,07
99;Устройство крепления котлована, тн.;"ООО ""ИБТ""";31,2;25,00;1,248
100;Монолитный ж/б, м3;"ООО ""ИБТ""";1348,2;230,14;5,858100559
101;Архитектурно-отделочные работы пассажирской зоны, м2;"ООО ""ИБТ""";0;0,00;--
102;Инженерные системы. Монтаж оборудования, шт.;"ООО ""ИБТ""";414;20,71;19,9862069
103;Инженерные системы. Монтаж трубопроводов, п.м.;"ООО ""ИБТ""";187,5;0,00;--
104;Инженерные системы. Монтаж кабеля, п.м.;"ООО ""ИБТ""";8099;133,00;60,89473684
105;Обратная засыпка, м3;"ООО ""ИБТ""";0;0,00;--
106;Устройство наружных сетей (трубопроводы), п.м.;"ООО ""ИБТ""";0;167,36;0
107;"Ст. ""Воронцовская"" и перегон от ст. ""Воронцовская"" до ст. ""Зюзино""";;0;;--
108;Монолитный ж/б, м3;"ООО ""ИБТ""";1348,2;272,14;4,954015748
109;Архитектурно-отделочные работы пассажирской зоны, м2;"ООО ""ИБТ""";0;0,00;--
110;Инженерные системы. Монтаж оборудования, шт.;"ООО ""ИБТ""";414;10,00;41,4
111;Инженерные системы. Монтаж трубопроводов, п.м.;"ООО ""ИБТ""";187,5;8,93;21
112;Инженерные системы. Монтаж воздуховодов, п.м.;"ООО ""ИБТ""";0;0,00;--
113;Проходка ТПМК, п.м.;"ООО ""ИБТ""";0;179,21;0
114;"Ст. ""Зюзино"" и перегон от ст. ""Зюзино"" до ст. ""Каховская""";;0;;--
115;Монолитный ж/б, м3;"ООО ""ИБТ""";1348,2;113,43;11,88589421
116;Архитектурно-отделочные работы пассажирской зоны, м2;"ООО ""ИБТ""";0;0,00;--
117;Инженерные системы. Монтаж оборудования, шт.;"ООО ""ИБТ""";414;30,00;13,8
118;Инженерные системы. Монтаж трубопроводов, п.м.;"ООО ""ИБТ""";187,5;34,14;5,491631799
119;Инженерные системы. Монтаж воздуховодов, п.м.;"ООО ""ИБТ""";0;35,00;0
120;Инженерные системы. Монтаж кабеля, п.м.;"ООО ""ИБТ""";8099;66,57;121,6587983
121;Обратная засыпка, м3;"ООО ""ИБТ""";0;0,00;--
122;Устройство наружных сетей (трубопроводы), п.м.;"ООО ""ИБТ""";0;203,50;0
123;Объединенное здание эксплуатационного персонала;;0;;--
124;Объединенное здание эксплуатационного персонала;;0;;--
125;Монолитный ж/б, м3;ТамбовКапиталПроект;1348,2;0,00;--
126;Соединительная ветка между южным участок ТПК и линии вдоль Калужского шоссе;;0;;--
127;Соединительная ветка между южным участок ТПК и линии вдоль Калужского шоссе;;0;;--
128;Итого по Объекту: Реконструкция Каховской линии;;0;;--
129;Вынос инженерных коммуникаций (кабель), п.м.;"АО ""Мосметрострой""";0;24,00;0
130;Ограждающие конструкции, м3;"АО ""Мосметрострой""";0;60,00;0
131;Земляные работы, м3;"АО ""Мосметрострой""";3210,7;40,00;80,2675
132;Устройство крепления котлована, тн.;"АО ""Мосметрострой""";31,2;30,00;1,04
133;Монолитный ж/б, м3;"АО ""Мосметрострой""";1348,2;60,00;22,47
134;Архитектурно-отделочные работы пассажирской зоны, м2;"АО ""Мосметрострой""";0;0,00;--
135;Устройство жесткого основания, м3;"АО ""Мосметрострой""";702;441,18;1,591192423
136;Реконструкция Каховской линии;;0;;--
137;"Ст. ""Каховская"", перегон от ПК0164 до ст. ""Каховская"" (тупики за станцией)";;0;;--
138;Вынос инженерных коммуникаций (кабель), п.м.;"АО ""Мосметрострой""";0;0,00;--
139;Монолитный ж/б, м3;"АО ""Мосметрострой""";1348,2;40,00;33,705
140;Архитектурно-отделочные работы пассажирской зоны, м2;"АО ""Мосметрострой""";0;69,00;0
141;"Перегон от ст. ""Каховская"" до ст. ""Варшавская"", ст. Варшавская";;0;;--
142;Вынос инженерных коммуникаций (кабель), п.м.;"АО ""Мосметрострой""";0;18,00;0
143;Ограждающие конструкции, м3;"АО ""Мосметрострой""";0;10,00;0
144;Земляные работы, м3;"АО ""Мосметрострой""";3210,7;25,00;128,428
145;Устройство крепления котлована, тн.;"АО ""Мосметрострой""";31,2;30,00;1,04
146;Монолитный ж/б, м3;"АО ""Мосметрострой""";1348,2;0,00;--
147;Устройство жесткого основания, м3;"АО ""Мосметрострой""";702;182,89;3,83831283
148;"Перегон от ст. ""Варшавская"" до ст. ""Каширская"", ст. ""Каширская""";;0;;--
149;Ограждающие конструкции, м3;"АО ""Мосметрострой""";0;50,00;0
150;Земляные работы, м3;"АО ""Мосметрострой""";3210,7;15,00;214,0466667
